id;name;avatar;idol
1;red;Mills copying Investment Account;cohesive
2;extensible Generic;Generic Refined Egyptian Pound;Michigan Intelligent
3;Cotton Practical Plastic Shoes;iterate Shoals ivory;Small
4;Money Market Account;Functionality Concrete;magenta Cheese
5;Investment Account invoice Alaska;Shoes;Total
6;portals Unbranded;maroon Mississippi;needs-based Customer
7;even-keeled Bulgarian Lev;Rustic Fresh Towels info-mediaries;Buckinghamshire multi-byte mobile
8;seamless Bacon;Intelligent;hacking
9;Keyboard;Colombia background Executive;calculate User-centric
10;Iraq frictionless Lebanese Pound;Triple-buffered;zero defect SQL
