id;title;genre;vocal;country;description;song_address;lyric;avatar;listen_count;favorite_count
1;applications regional Generic Cotton Cheese;Chinese;web-enabled;US;navigating Lead Estate;payment programming mobile;../fake-data/blob/hipster.txt;Executive Cayman Islands Grocery;12978;7377
2;programming Buckinghamshire;Chinese;Analyst;China;Legacy Solutions;Small Gorgeous Cotton Car;../fake-data/blob/hipster.txt;cultivate Seychelles Rupee Bacon;48164;36994
3;Refined;Chinese;systems Fresh;Japan;deposit Practical Rubber Cheese;strategic;../fake-data/blob/hipster.txt;Drives;37562;31161
4;encoding;EDM;Forint Liechtenstein;China;Generic Profound connecting;parallelism payment;../fake-data/blob/hipster.txt;Dynamic back up TCP;66248;22030
5;bluetooth;Romantic;Investor Cambridgeshire;China;1080p sensor Gibraltar Pound;Consultant Mills disintermediate;../fake-data/blob/hipster.txt;grid-enabled Steel;26794;49636
6;extend revolutionary;Romantic;Mobility input Grocery;Vietnam;program grid-enabled;Wooden Orchestrator Expanded;../fake-data/blob/hipster.txt;ADP Gibraltar Pound Investment Account;35237;84005
7;Balanced Granite;Vibrant;Myanmar Fiji Dollar;US;hacking capacitor e-markets;user-centric indigo Saint Lucia;../fake-data/blob/hipster.txt;lime payment Grocery;99339;12377
8;bus Ergonomic Games;EDM;Fresh;Korea;Prairie calculating bricks-and-clicks;fresh-thinking Sausages;../fake-data/blob/hipster.txt;array;80267;11389
9;process improvement;EDM;didactic;Japan;indexing Home partnerships;port Chief;../fake-data/blob/hipster.txt;Borders Computer;89859;28081
10;Computers Alabama;Vibrant;focus group;Japan;Group haptic;Investment Account;../fake-data/blob/hipster.txt;Communications;86708;25623
