id;content;image;song_id
1;Bosnia and Herzegovina instruction set bricks-and-clicks;Avon overriding Falkland Islands Pound;76638
2;Awesome Wooden Car Assimilated exploit;olive Australian Dollar Intelligent Frozen Gloves;30192
3;withdrawal web-enabled;Virginia Cedi integrated;81563
4;matrix Oklahoma Czech Koruna;Intranet Cheese program;85462
5;Concrete Egypt;navigate Synergized;27869
6;primary Metal;portal;65460
7;Dong;hacking Re-engineered;1246
8;Squares;Planner Balboa US Dollar Assurance;17602
9;Bedfordshire strategy;Sports;38637
10;Producer;Soft;83060
