id;title;content;comment;image;jhi_like;song_address
1;Health hacking Clothing;Savings Account Representative;Money Market Account Investment Account Concrete;impactful;27711;parsing hacking Andorra
2;invoice South Carolina;Armenian Dram Facilitator;Switchable Secured;Communications Ball;21656;Car Money Market Account
3;policy;navigating;Engineer Plastic;Practical Granite empower;6253;Virgin Islands, British calculate
4;Borders PNG Highway;Home Wisconsin grey;Fantastic Fresh Hat user-centric Pataca;firewall;20767;Graphic Interface leading-edge
5;streamline Table Personal Loan Account;systemic;National Persistent Licensed;conglomeration Dalasi Court;15614;Home Loan Account Practical Open-source
6;bypassing Operative revolutionize;XML Savings Account maroon;artificial intelligence;Toys 1080p Somali Shilling;58574;architecture navigating Direct
7;Communications Saint Barthelemy;Bacon Tactics Legacy;open-source Synchronised Intuitive;Personal Loan Account Producer copy;77140;European Unit of Account 9(E.U.A.-9)
8;Bulgaria;compress Web bypassing;cross-platform monetize Fantastic Concrete Hat;reboot El Salvador Colon US Dollar;33372;Strategist Ways Avon
9;Checking Account;olive West Virginia hacking;quantifying;invoice;15537;invoice Customer-focused
10;embrace connect compressing;Forward synergistic definition;Bahamas;holistic;71034;maroon port
